FOODID;FOODNAME;LANG
11045;Apelsin, skalad;SV
11046;Mandarin, skalad;SV
11047;Grape, skalad;SV
11048;Citron, skalad;SV
11049;Banan, skalad;SV
11050;Kiwi, skalad;SV
11051;Persika/nektarin, skalad, kärnfri;SV
11052;Körsbär, kärnfri;SV
11053;Plommon, kärnfri;SV
11054;Aprikos, medelvärde, kärnfri;SV
11055;Vattenmelon, skalad;SV
11056;Ananas, skalad;SV
11057;Avokado, skalad, kärnfri;SV
11059;Tonfisk, medelvärde;SV
11060;Äpple, inhemskt, skalat;SV
11061;Äpple, utländskt, skalat;SV
11062;Päron, skalat;SV
11063;Plommon, kärnfri, torkad;SV
11064;Champinjoner, konserv;SV
11065;Nyponpuré, sockerfri;SV
11067;Tonfisk, i vatten;SV
11069;Vin, alkoholfritt;SV
11071;Specialfrukt, exotisk, medelvärde, mango/papaya, skalad;SV
11072;Surgurka;SV
11074;Groddar, alfalfa-groddar;SV
11086;Nöt, cashew-nöt;SV
11087;Sesampasta tahini, utan salt;SV
11089;Kikärt i osaltat vatten, kaffeärt;SV
11090;Bönor, vita bönor, tomatsås;SV
11092;Vasslepulver, för livsmedelsindustri;SV
11130;Färskost, 6-11 % fett, smaksatt;SV
11131;Ost, vitmögel-/vitblåmögelost 40 % fett, vit castello/blå castello/saga;SV
11132;Färskost, vegetabilisk fettblandning, 24-30 % fett;SV
11133;Ost, halvhård ost, 15-18 % fett, kevyt turunmaa/edam 17/adam/maigre;SV
11134;Basilika, färsk;SV
11135;Bambuskott;SV
11136;Grädde, vispgrädde, lätt, 25 % fett;SV
11142;Saftis, medelvärde;SV
11145;Mjölk, fettfri, låg laktoshalt, 1 ug vitamin d;SV
11146;Ost, brödost, 17-23 % fett, låg laktoshalt;SV
11148;Glass, gräddglasspinne, choklad, medelvärde;SV
11149;Glass, saftis-glasspinne, medelvärde;SV
11150;Kyckling, marinerad, utan skinn, rå;SV
11152;Gräddfil, låg laktoshalt, 10-12 % fett;SV
11154;Fil, naturellt, lättfil 2 % fett, låg laktoshalt;SV
11155;Grynost, 2-5 % fett, låg laktoshalt;SV
11156;Kvarg, naturell, <0,5 % fett, låg laktoshalt;SV
11157;Ost, 28 % fett, inneh. veg. fett;SV
11159;Crème fraiche, 15-18 % fett;SV
11164;Dessertsås, vanillinsås, vispbar;SV
11165;Surmjölk, fettfri, låg laktoshalt, 1 ug vitamin d;SV
11172;Glass, glasspinne, vegetabilisk fett, chokladöverdrag;SV
11173;Glass, glasstrut, strut, vegetabilisk fett;SV
11177;Svartpeppar;SV
11178;Vitpeppar;SV
11182;Paprikapulver;SV
11188;Vanillinsocker;SV
11191;Oregano, torkad;SV
11194;Timjan;SV
11196;Aromsalt/örtsalt, salthalt 71 %;SV
11197;Kryddsås, brun, hp-sås;SV
11198;Druvsocker, glukos;SV
11203;Honungsmelon, skalad;SV
11210;Pastill sötad med xylitol, c-vitaminerad;SV
11211;Ost, fetaost, 25 % fett, av getmjölk, i saltlag;SV
11212;Solrosfrön;SV
11287;Vegetabilisk matfett 28%, mini lätta;SV
11503;Juice, vinddruvsjuice;SV
11505;Bananchips, torkad banan;SV
11507;Risstärkelse;SV
11512;Kotlettrad;SV
11513;Grisfilé, innerfilé, 4,5 % fett;SV
11521;Ris, långkornigt, klibbfritt;SV
11522;Ris- och rågkrossblandning;SV
11550;Färskost, 30 % fett, smaksatt, låg laktoshalt;SV
11551;Kalkon bröstfilé;SV
11553;Fruktsylt, medelvärde;SV
11557;Juice, citronjuice, outspädd;SV
11558;Juice, apelsinjuice, kalcium;SV
11562;Köttfärs, nötfärs, 17 % fett;SV
11563;Kyckling, kycklingben, med skinn, rå;SV
11564;Kyckling, bröstschnitzel, med skinn;SV
11565;Kyckling, bröstfilé, utan skinn, strimlor, schnitzel;SV
11571;Färskost, 11 % fett, naturell;SV
11572;Mjölk, fettfri, tillsatt kalcium, 0,5 ug vitamin d;SV
11580;Nötmellanmål, sött, stång/kaka;SV
11587;Bärdryck, nypondryck, pro viva, havre, probiotika;SV
11589;Pepparrot;SV
11680;Potatis, skalad, storköksprodukt, skyddsgasförp.;SV
11685;Stekolja, palmolja 50 %, palmkärnsolja 25 %, rypsolja 25 %;SV
11687;Risdryck, naturell;SV
11689;Sparris, rå, rensad;SV
11690;Majonnäs, låg fetthalt, 15 % fett;SV
11691;Rom, medelvärde, saltad;SV
11695;Rypsolja, kallpressad;SV
11700;Sojaprotein koncentrat, 58 % protein;SV
11701;Palmkärnsolja;SV
11723;Yoghurt, smaksatt, 3 % fett;SV
11726;Fil, frukt-/bärfil, 1 % fett, låg laktoshalt;SV
11727;Yoghurt, smaksatt, 2,5 % fett;SV
11734;Shiitakesvamp;SV
11735;Ostronskivling;SV
11736;Yoghurt, naturell, 1,5 % fett;SV
11739;Vegetabilisk matfett 35%, becel pro-activ;SV
28905;Mjöl, vetemjöl, durum;SV
28909;Makaroner, rågmakaroner;SV
28910;Ris, mörkt;SV
28913;Potatis, vägd med skal;SV
28915;Melon, nät-/cantaluponmelon, vägd med skal;SV
28916;Äpple, medelvärde, vägd med skal;SV
28917;Päron,  vägd med skal;SV
28918;Plommon, mörk, vägd med kärna;SV
28919;Plommon, mörk, vägd med kärna, torkad;SV
28920;Körsbär, vägd med kärna;SV
28921;Aprikos, medelvärde, vägd med kärna;SV
28922;Persika/nektarin, medelvärde, vägd med kärna;SV
28923;Ananas, färsk, vägd med skal;SV
28924;Apelsin, vägd med skal;SV
28925;Citron, medelvärde, vägd med skal;SV
28926;Grape, medelvärde, vägd med skal;SV
28927;Korv, vegetarisk korv med soja;SV
28928;Vinblad, inlagd i saltlag;SV
28929;Köttfärs, lammfärs, 14 % fett;SV
28930;Köttfärs, kycklingfärs;SV
28931;Vattenmelon, vägd med skal;SV
28932;Vindruva, medelvärde, vägd med kärnor, grön/mörk;SV
28933;Avokado, vägd med skal och kärna;SV
28934;Banan, vägd med skal;SV
28935;Mandarin, medelvärde, vägd med skal;SV
28936;Fikon, vägd med skal, torkad;SV
28937;Dadel, torkad, vägd med kärna;SV
28938;Oliv, medelvärde, utan kärna, inlagd i olja, grön/svart;SV
28939;Kiwi, vägd med skal;SV
28941;Äpple, inhemsk, medelvärde, med skal;SV
28942;Äpple, utländsk, medelvärde, med skal;SV
28944;Honungsmelon, vägd med skal;SV
28945;Köttfärs, kalkonfärs, 5-6 % fett;SV
28946;Köttfärs av gris, 16 % fett;SV
28947;Bacon, filé, fett 18 g;SV
28962;Majskolv, hel;SV
28991;Cafe au lait, osötad, helmjölk;SV
28992;Mjölk, helmjölk, kokt;SV
28993;Caffe latte, osötad, helmjölk;SV
29008;Grönsaksbuljongtärning;SV
29009;Hönsbuljongtärning, innehåller vete;SV
29010;Fiskbuljongtärning;SV
29014;Kokosmjölk;SV
29055;Nudel, risnudel;SV
29060;Ost, salladost, 12-15 % fett, av komjölk, i saltlag;SV
29064;Mjölk, lättmjölk, laktosfri, 1 ug vitamin d;SV
29065;Matlagningsgrädde, 15 % fett;SV
29066;Grädde, vispgrädde, 35 % fett;SV
29070;Energidryck, vitaminerad;SV
29089;Yoghurt, drickbar, 0,1 % fett;SV
29091;Cappuccino, osötad, fettfri mjölk;SV
29128;Fil, naturell, fettfri;SV
29135;Cider, torr, 4,7 vol-% alkohol;SV
29150;Saftdryck, lingon, utspädd;SV
29155;Kakaosmör;SV
29156;Choklad, vit choklad;SV
29159;Margarin 40 %, medelvärde av industriella produkter;SV
29160;Ägg, vägt med skal;SV
29207;Strömming, filé;SV
29208;Couscous;SV
29210;Mjölk, lättmjölk, utan tillsatt vitamin d, ekologisk;SV
29211;Mjölk, fettfri, utan tillsatt vitamin d, ekologisk;SV
29212;Surmjölk, ekologisk, fettfri, utan tillsatt vitamin d;SV
29215;Saftdryck, vitamin c;SV
29217;Pepparriska;SV
29228;Ost, fetaost, getmjölk, i olja;SV
29237;Kli, rågkli;SV
29239;Ost, mozzarella, 20 % fett;SV
29409;Margarin 60 %, becel laktosfri;SV
29410;Stensopp;SV
29412;Modersmjölksersättning, pulver, medelvärde;SV
29413;Modersmjölksersättning, drickfärdig, medelvärde;SV
29496;Makaroni, glutenfri;SV
29499;Mjöl, mjölblandning, naturligt glutenfri, ris-majs-potatis;SV
29501;Tonic vatten;SV
29685;Juice, plommonjuice, sockerfri;SV
29687;Sötsak, salmiak;SV
29819;Gefilus surmjölk, fettfri;SV
29822;Mjöl, majsmjöl, grovt, polentamjöl;SV
29823;Mjöl. majsmjöl, finmalet;SV
29975;Måltidsersättning, proteindryckpulver, herbalife formula 1, 35 % protein;SV
30051;Pastill, sötad med xylitol;SV
30187;Majssnack, utan salt;SV
30190;Mjöl, havremjöl;SV
30193;Pasta, vete, råg och korn;SV
30194;Sportdryck, powerade, gatorade;SV
30207;Sojadryck, kalcium;SV
30208;Havredryck, mjölkfri, kalcium;SV
30209;Havredryck, mjölkfri, kalcium och vitaminer;SV
30210;Havredryck, mjölkfri, oat drink;SV
30212;Risdryck, kalcium;SV
30214;Vattenkastanj;SV
30221;Ris-havreblandning;SV
30223;Batat, skalad;SV
30224;Läskedryck, coladryck light, syntetiskt sötad;SV
30265;Kycklingvinge, med skinn;SV
30268;Kycklingvinge, utan skinn;SV
30271;Kycklingvinge, marinerad, rå;SV
30273;Påläggskorv, skinkkorv, 16 % fett;SV
30274;Påläggskorv, balkankorv, 21,5 % fett;SV
30275;Påläggskorv, gouterkorv, 13,8 % fett;SV
30278;Mujka, inlagd i tomatsås;SV
30279;Påläggskorv, lördagskorv, lätt, innehåller mjölkprotein, 14 % fett;SV
30281;Knackkorv, ost;SV
30292;Länkkorv, innehåller ost;SV
30294;Påläggskorv, lättsaltad, 3,5 % fett;SV
30295;Påläggskorv, balkankorv, lätt, 10 % fett;SV
30305;Medvurst, lätt, 15 % fett;SV
30306;Medvurst;SV
30310;Smältost, 5 % fett, fettsnål;SV
30317;Knackkorv, medelvärde av industriella produkter;SV
30318;Länkkorv, medelvärde;SV
