FOODID;SPECDIET
310;UNSWEET
312;GLUTFREE
312;MILKFREE
312;LACOVEGE
312;CHOLFREE
312;LACSFREE
312;LACVEGE
312;VEGAN
312;EGGFREE
312;LOWPROT
312;NAGLUFRE
312;SALTFREE
312;SOYAFREE
312;UNSWEET
320;GLUTFREE
320;MILKFREE
320;LACOVEGE
320;CHOLFREE
320;LACSFREE
320;LACVEGE
320;VEGAN
320;EGGFREE
320;LOWPROT
320;NOCOLOUR
320;SALTFREE
320;SOYAFREE
320;UNSWEET
321;GLUTFREE
321;MILKFREE
321;LACOVEGE
321;CHOLFREE
321;LACSFREE
321;LACVEGE
321;VEGAN
321;EGGFREE
321;LOWPROT
321;NAGLUFRE
321;SALTFREE
321;SOYAFREE
321;UNSWEET
322;GLUTFREE
322;MILKFREE
322;LACOVEGE
322;CHOLFREE
322;LACSFREE
322;LACVEGE
322;VEGAN
322;EGGFREE
322;LOWPROT
322;NAGLUFRE
322;SALTFREE
322;SOYAFREE
322;UNSWEET
324;GLUTFREE
324;MILKFREE
324;LACOVEGE
324;CHOLFREE
324;LACSFREE
324;LACVEGE
324;VEGAN
324;EGGFREE
324;LOWPROT
324;NAGLUFRE
324;SALTFREE
324;SOYAFREE
324;UNSWEET
326;GLUTFREE
326;MILKFREE
326;LACOVEGE
326;CHOLFREE
326;LACSFREE
326;LACVEGE
326;VEGAN
326;EGGFREE
326;LOWPROT
326;NAGLUFRE
326;SALTFREE
326;SOYAFREE
326;UNSWEET
327;GLUTFREE
327;MILKFREE
327;LACOVEGE
327;CHOLFREE
327;LACSFREE
327;LACVEGE
327;VEGAN
327;EGGFREE
327;LOWPROT
327;NAGLUFRE
327;SALTFREE
327;SOYAFREE
327;UNSWEET
329;GLUTFREE
329;MILKFREE
329;LACOVEGE
329;CHOLFREE
329;LACSFREE
329;LACVEGE
329;VEGAN
329;EGGFREE
329;LOWPROT
329;NAGLUFRE
329;SALTFREE
329;SOYAFREE
329;UNSWEET
330;GLUTFREE
330;MILKFREE
330;LACOVEGE
330;CHOLFREE
330;LACSFREE
330;LACVEGE
330;VEGAN
330;EGGFREE
330;LOWPROT
330;NAGLUFRE
330;SALTFREE
330;SOYAFREE
330;UNSWEET
331;GLUTFREE
331;MILKFREE
331;LACOVEGE
331;CHOLFREE
331;LACSFREE
331;LACVEGE
331;VEGAN
331;EGGFREE
331;LOWPROT
331;NAGLUFRE
331;SALTFREE
331;SOYAFREE
331;UNSWEET
333;GLUTFREE
333;MILKFREE
333;LACOVEGE
333;CHOLFREE
333;LACSFREE
333;LACVEGE
333;VEGAN
333;EGGFREE
333;LOWPROT
333;NAGLUFRE
333;SALTFREE
333;SOYAFREE
333;UNSWEET
334;GLUTFREE
334;MILKFREE
334;LACOVEGE
334;CHOLFREE
334;LACSFREE
334;LACVEGE
334;VEGAN
334;EGGFREE
334;LOWPROT
334;NAGLUFRE
334;SALTFREE
334;SOYAFREE
334;UNSWEET
335;GLUTFREE
335;MILKFREE
335;LACOVEGE
335;CHOLFREE
335;LACSFREE
335;LACVEGE
335;VEGAN
335;EGGFREE
335;LOWPROT
335;NAGLUFRE
335;SALTFREE
335;SOYAFREE
335;UNSWEET
336;GLUTFREE
336;MILKFREE
336;LACOVEGE
336;LACSFREE
336;LACVEGE
336;VEGAN
336;EGGFREE
336;LOWPROT
336;NAGLUFRE
336;SALTFREE
336;SOYAFREE
